alias,symbol
DIPP-2B,NUDT4B
DIPP1,NUDT3
DIPP2,NUDT4
DIPP2alpha,NUDT4
DIPP2beta,NUDT4
DIPP3-alpha,NUDT10
DIPP3a,NUDT10
DIPP3b,NUDT11
DIPP3beta,NUDT11
DIR,AVPR2
DIR1,FKBPL
DIR3,AVPR2
DIRA,IL1RN
DIRC2,SLC49A4
DIRC3-AS1,TESHL
DIRS1,IL20RB
DIS3L1,DIS3L
DIS3L2P,DIS3L2P1
dis3p,DIS3
DISC1-AS1,DISC2
DISC1OS,DISC2
Disp,PRSS30P
DISPA,DISP1
DISPB,DISP2
Dist1,RHBDF1
DITHP,KLHL23
Diva,BCL2L10
DIVA,COL6A4P1
DIWS,GTF2I
Dixin,DIXDC1
DJ-1,PARK7
DJ-2,DNAJA1
Dj-9,DNAJB11
DJ1,PARK7
DJ10,DNAJB12
dJ1000K24.1,PGAM4
dJ1002M8.1,NAA20
dJ1002M8.3,CFAP61
dJ1005F21.2,MTG2
dJ1007G16.1,CSMD2
dJ1007G16.2,CSMD2
dJ1007G16.5,HMGB4
dJ1009E24.1,SIGLEC1
dJ1009E24.2,HSPA12B
dJ1012F16.1,LINC00687
dJ1013A10.1,PRP4K
dJ1013A10.3,ECI2
dJ1013A10.5,TEX56P
dJ1013A22.3,LINC01620
dJ1013A22.4,RPL37AP1
dJ1018A4.2,EYS
dJ1018D12.3,DEFB118
dJ1018D12.4,RPL31P3
dJ101A2,TP53RK
dJ101A2.2,TP53RK
dJ1022P6.1,RPS18P1
dJ1022P6.3,EIF4EP1
dJ1024C24.1,MPPED2
dJ1028D15.1,IFT52
dJ1028D15.2,RPL27AP
dJ1028D15.4,GTSF1L
dJ102H19.2,SMIM8
dJ102H19.4,LINC01590
dJ1033B10.14,HLA-DPA3
dJ1033B10.15,HCG24
dJ1033B10.16,HCG25
dJ1033B10.5,VPS52
dJ1033B10.6,HTATSF1P1
dJ1033B10.7,ZNF70P1
dJ1033B10.9,HSD17B8
dJ1033E15.2,RTL6
dJ1039K5,PICK1
dJ1039K5.6,C22orf23
dJ1041C10.2,SNRPFP1
DJ1042K10.2,SGSM3
dJ1043E3.1,KIF6
dJ1049G11,RALGAPA2
dJ1049G11.3,EIF4E2P1
dJ1049G11.4,RALGAPA2
dJ1056H1.1,LRRN4
dJ1057B20.2,RPRD1B
dJ1057D4.1,SRMP1
dJ1060K6.1,RPS11P1
dJ1061C18.1.1,DLG1
dJ1065O2.1,RPL41P1
dJ1065O2.2,SLC25A6P1
dJ1068E13.1,SCP2D1-AS1
dJ1068E13.2,SCP2D1
dJ1068F16.1,RPL23AP6
dJ1068F16.2,SNAP25
dJ1068H6.4,PRND
dJ1069P2.3,PABPC1L
dJ106I20.2,NDUFA9P1
dJ106I20.3,RBFOX2
dJ1071L10.1,TMSB4XP6
dJ1077I2.1,ISM1
dJ1077I5.3,HCG23
dJ1078M7.1,KANK4
dJ1085F17.3,COMMD7
dJ108K11.3,KCTD20
dJ1093G12.6,LINC00028
dJ1099D15.3,SLX4IP
DJ11,DNAJC7
dJ1100H13.4,ARHGAP40
dJ1103G7.2,C20orf96
dJ1103G7.3,TRIB3
dJ1103G7.6,NRSN2
dJ1103G7.7,ZCCHC3
dJ1104E15.3,MIEF1
dJ1108D11.2,TOX2
dJ1111A8.1,USH2A
dJ1112F19.1,SALL4
dJ1116H23.2.1,TMEM230
dJ1118M15.2,VSTM2L
dJ1119D9.3,LAMP5
dJ111C20.1,RSPH3
dJ111M5.1,RPL13P
dJ111M5.3,ZNF90P2
dJ111M5.4,HCG14
dJ1121G12.1,PHF20
dJ1125A11.2,TPM3P2
dJ1128N12.1,PGAM3P
dJ1141E15.2,MANBAL
dJ1153D9.2,GCNT7
dJ1153D9.3,FAM209A
dJ1153D9.4,FAM209B
dJ1156J9.1,DENND2C
dJ1158H2.1,EFHC2
dJ1161H23.1,ACSS2
dJ1164I10.1,ARFGEF2
dJ1167H4.1,FAM210B
dJ1167H4.5,RPL39P
dJ1178H5.1,RPL17P1
dJ1178H5.4,CFAP61
dJ1181N3.1,TP53INP2
dJ1182A14.1,ESPNP
dJ1183I21.1,OSER1
dJ1184F4.2,NOL4L
dJ1184F4.4,NOL4L
dJ1186N24,GPX6
dJ1186N24.1,GPX6
dJ1186N24.3,SCAND3
dJ1187J4.1,BPIFB1
dJ1187J4.2,BPIFB9P
dJ1187J4.3,BPIFB9P
dJ1187J4.5,SNTA1
dJ1187M17.3,DDRGK1
dJ1187M17.5,FASTKD5
dJ1193N1.1,RPSAP1
dJ121G13.4,ASCC3
DJ122O8.2,LYRM2
dJ125M3.1,RPL24P4
dJ126A5.1,DNAJC11
dJ127C7.3,ARPC5
dJ127D3.1,FMO3
dJ127L4.2,AP1B1P1
dJ127L4.3,AP1B1P2
dJ12G14.2,GINM1
dJ130H16.1,TBC1D10A
dJ130H16.2,TBC1D10A
dJ130H16.5,SEC14L4
dJ132F21.1,MTCL2
dJ132F21.2,TLDC2
dJ137F1.4,KIF6
dJ138B7.2,SGK2
dJ138B7.3,L3MBTL1
dJ139D8.5,TRERF1
dJ139D8.6,GUCA1A
dJ139G21.2,H2AC3P
dJ142L7.2,TUBE1
DJ149A16.6,RTCB
dJ149A16.7,BPIFC
DJ149L1.1.2,COL9A1
dJ149M18.1,NCR2
dJ14O9.1,ITIH6
dJ153G14.2,MCFD2P1
dJ153G14.3,ZNF391
dJ153P14.2,CCDC167
dJ155G6.3,SNAP23P1
DJ159A19.3,AHDC1
dJ15D7.1,RPL8P1
dJ160A22.1,H4C12
dJ160A22.2,H4C11
dJ160A22.3,H2BC14
dJ160A22.4,H2AC14
DJ167A19.1,YIPF1
dJ167A19.4,LRRC42
dJ167O5.2,HDDC2
dJ171K16.1,SPANXD
dJ171N11.1,ARFGEF3
dJ171N11.2,PBOV1
dJ172H20.2,SEMG1
dJ179M20.3,TTPAL
dJ182D15.1,LINC00574
dJ185D5.1,EFCAB6
dJ186O1.1,SMDT1
dJ187J11.2,TRMT11
dJ187J11.3,NCOA7
dJ188D3.1,KIF6
dJ189G13.1,RPL7AP12
dJ189G13.2,RPS4XP2
dJ18C9.2,GGT7
dJ18C9.3,HMGB3P1
dJ190I16.1,KIFAP3
dJ193B12.1,H2AC17
dJ193B12.2,H2BC17
dJ193B12.4,OR2B2
dJ193B12.5,HCG13P
dJ193B12.9,H2AC16
dJ195P10.2,PNLDC1
dJ196E23.2,HTATSF1
dJ199H16.1,DMC1
dJ202D23.2,DOP1A
dJ207F6.1,NOP56P1
dJ20C7.3,KLHDC3
dJ20C7.4,RRP36
dJ20C7.5,CUL7
dJ20N2,ADAT2
dJ20N2.1,ADAT2
dJ20N2.5,FUCA2
dJ211D12.4,WFDC12
dJ211D12.5,WFDC5
dJ21F7.1,KLHL32
dJ221C16.1,H4C3
dJ221C16.2,H1-6
dJ221C16.3,H2BC4
dJ221C16.4,H2AC6
dJ221C16.5,H1-4
dJ221C16.6,H2BC5
dJ221C16.7,LARP1P1
dJ221C16.8,H2BC6
dJ221C16.8,H2BC8
dJ221C16.9,H4C4
dJ222E13.1,SERHL
dJ222E13.1,SERHL2
dJ222E13.2,RRP7BP
dJ222E13.5,ATP5MGL
dJ222E13.7,RNU12
dJ223E3.1,PRSS35
dJ223E5.2,NOL7
dJ225E12.1,HECA
dJ22I17.2,EYS
dJ230I3.1,SLC35F1
DJ234P15.1,COL12A1
dJ236A3.1,FARS2
dJ237I15.1,RIPPLY2
dJ238O23.1,TREML2
dJ238O23.3,TREML1
dJ242G1.1,UBR2
dJ248E1.1,MOXD1
dJ249I4.1,FIG4
dJ24O22.2,SEPTIN14P6
dJ254P11.1,ELOCP3
dJ257A7.2,PHACTR1
dJ257A7.3,TBC1D7
dJ257E24.3,OCSTAMP
dJ259A10.1,RBM24
dJ25J6.3,KRT18P1
dJ25J6.5,LINC01556
dJ25J6.6,HCG15
dJ25J6.7,HCG15
dJ261G23.1,MAD2L1BP
dJ261K5.1,SLC22A16
DJ262D12.2,MRPS14
dJ265C24.3,ZSCAN16
dJ265C24.4,ZKSCAN8P1
dJ265C24.5,ZNF602P
dJ266L20.3,ERMARD
dJ266L20.5,LINC00242
dJ269M15.1,PPIAP21
dJ271M21,SUMO2P1
dJ271M21.2,OR2H2
dJ271M21.3,RPL13AP
dJ271M21.8,GPR53P
dJ272L16.1,CAMK1G
dJ273F20,FAXC
dJ274L14.2,SRP72P2
dJ281H8.1,ZC3H12D
dJ281H8.4,SUMO4
dJ283E3.1,NADK
dJ288M22.3,LINC00472
dJ290I10.4,MRPL48P1
dJ292B18.2,MTHFD1L
dJ298J15.2,KDM1B
dJ299F11.1,ARL14EP
dJ29K1.2,ZSCAN12
dJ29K1.3,ZSCAN23
dJ29K1.3.1,ZSCAN23
DJ3,DNAJA2
dJ303A1.3,BLOC1S5
dJ303F19.1,EYS
dJ304B14.2,EFHC1
dJ309H15.1,HDGFL1
dJ309K20.1,FER1L4
dJ30M3.2,C6orf62
dJ30M3.3,TDP2
dJ310J6.1,TBC1D32
dJ310O13.1,TTLL9
dJ310O13.3,PDRG1
dJ310O13.4,XKR7
dJ310O13.5,CCM2L
dJ313I6.1,IQCB2P
dJ313I6.4,OR2B8
dJ313I6.7,ZSCAN12P1
dJ313I6.8,ZNF601P
dJ317G22.1,KMO
dJ319D22.1,CDC5L
dJ322A24.1,FNDC1
dJ322G13.2,GZF1
dJ322G13.4,CSTL1
dJ322G13.6,CST11
dJ322I12.1,BTBD9
dJ323M4.1,SASH1
dJ323P24.1,SPIN2A
dJ323P24.2,SPIN2B
dJ324O17.1,HM13
dJ327J16,DNAL4
DJ328E19.C1.1,NBPF14
dJ329L24.1,MCM9
dJ329L24.3,MCM9
dJ330M21.3,DNPH1
dJ331H24.1,OGFRL1
dJ336K20B.1,SNRNP48
dJ336K20B.2,RPL29P1
dJ337H4.2,LRRC73
dJ337H4.3,YIPF3
dJ337O18.4,SNX21
dJ337O18.5,ZSWIM1
dJ337O18.6,NEURL2
dJ337O18.7,ZSWIM3
dJ337O18.8,SPATA25
dJ341D10.2,ARL13A
dJ341D10.3,TRMT2B
dJ341E18.2,FBXO9
dJ342K12.1,MTCO2P1
dJ347H13.2,CSDC2
DJ347H13.4,DESI1
dJ348M17.1,RPL7AP13
dJ349A12.1,BLTP3A
dJ34B20.13,RPS10P1
dJ34B20.16,H1-12P
dJ34B20.2,H2AC10P
dJ34B20.8,H2AC9P
dJ34B21.2,TSPO2
dJ34B21.3,OARD1
dJ351K20.1,RNF146
dJ351K20.2,ECHDC1
DJ352A20.2,ALDH8A1
dJ353C17.1,MIR1-1HG
dJ353C17.2,RPL7P3
dJ353E16.2,MN1
dJ353E16.2,TTC28-AS1
dJ354J5.2,LINC00222
dJ355M6.2,TMEM217
dJ364I1.1,GNG5B
dJ366L4.1,CCDC117
dJ366N23.1,UNC93A
dJ366N23.2,UNC93A
dJ366N23.3,TTLL2
dJ370M22.3,ENTHD1
dJ372B18.1,HNRNPA1P2
dJ377H14.2,RPL7AP7
dJ377H14.3,HLA-P
dJ377H14.4,HLA-V
dJ377H14.5,IFITM4P
dJ377H14.6,HCG9P5
dJ377H14.7,MICE
dJ377H14.8,RPL23AP1
dJ37E16.4,TRIOBP
dJ37E16.5,PDXP
dJ37E16.7,NOL12
dJ380B8.2,NRN1
dJ382I10.1,CFAP206
dJ382I10.6,RARS2
dJ383J4.3,CENPL
dJ388M5,HMGN2P9
dJ388M5,PNPLA5
dJ388M5.2,HMGN2P9
DJ388M5.3,SULT4A1
dJ388M5.4,PNPLA5
dJ391O22.4,ILRUN
dJ392M17.3,UBR2
dJ393D12.2,FHL5
dJ393P12.2,WASF2
dJ39B17.2,MMS22L
dJ39G22.2,TMCO2
DJ39G22.4,COL9A2
DJ3E1.1,BTN2A1
dJ3J17.2,SYNCRIP
DJ4,DNAJB6
dJ400N23,PATZ1
dJ402G11.3,PLXNB2
DJ402G11.6,TUBGCP6
DJ402G11.8,MOV10L1
dJ402H5.1,OPN5
dJ402H5.2,PTCHD4
dJ403A15.3,MTCL3
dJ408B20.2,OR2B6
dJ408B20.3,RPLP2P1
dJ408K24.1,ADGB
dJ40E16.3,FAM136BP
dJ40E16.7,TUBB2A
dJ412I7.1,RSPH4A
dJ412I7.3,ZUP1
dJ413H6.1,ADTRP
dJ416F21.2,C6orf118
dJ417I1.1,ZNF451
dJ417I1.2,BAG2
dJ417L20.2,PGK2
dJ417M14.2,MAK
dJ421D16.1,SMOC2
dJ421H19.2,TMEM63B
dJ422F24.1,IYD
dJ423B22.1,ZC3H12A
dJ423B22.5,DNALI1
dJ427A4.2,RAMACL
dJ431A14.3,RAB44
dJ431P23.3,AFDN-DT
dJ431P23.4,LINC01558
dJ434O11.1,MBOAT1
DJ434O14.5,UTP25
dJ439I14.1,LIN28B-AS1
dJ441G21.1,RPL12P2
dJ442L6.3,CRISP3
dJ447F3.1,HNRNPA1P3
dJ447F3.2,UBE2C
dJ447F3.3,WFDC3
dJ447F3.4,DNTTIP1
dJ447F3.6,SPINT5P
dJ453C12.4,SYS1
dJ453C12.4.1,SYS1
dJ453C12.5,TP53TG5
dJ453H5.1,SLC35B3
dJ45H2.2,SYNE1
dJ45P21.6,H3C9P
dJ461P17.1,WFDC8
dJ461P17.11,WFDC6
dJ461P17.2,EPPIN
dJ461P17.5,RPL5P2
dJ461P17.6,WFDC2
DJ462O23.2,NIPAL3
DJ465N24.2.1,RSRP1
dJ467N11.1,ASCC3
dJ468K18.4,LTV1
dJ468K18.5,ZC2HC1B
dJ469A13.2,DSN1
dJ470L14.3,ARPC3P1
DJ473B4,MOSPD1
dJ473J16.2,AGPAT4
dJ474I12.C22.2,LINC00229
dJ475B7.2,LAS1L
dJ475N16.4,RPL7L1
dJ477O4.2,ERGIC3
dJ477O4.3,RPL36P4
dJ477O4.4,C20orf173
dJ47M23.1,SCML4
dJ481F12.3,RAE1
dJ482C21.1,LEMD2
dJ483K16.1,ELOVL5
dJ486I3.1,NT5DC1
dJ486I3.2,TSPYL4
dJ486L4.2,AKIRIN2
dJ492J12.1,ZNF831
dJ493F7.3,CALHM5
dJ494G10.1,APOBEC3G
dJ495O3.1,TOX2
dJ496H19.1,PERP
DJ5,DNAJB7
dJ501N12.1,CARMIL1
dJ501N12.5,CARMIL1
DJ501N12.8,SCGN
dJ506G2.1,THOC2
dJ507I15.1,RPL36AP52
dJ508I15.2,JOSD1
dJ509I19.2,ECT2L
dJ509I19.3,ECT2L
dJ509I19.4,ACKR4P1
dJ509I19.5,ECT2L
dJ50J22.1,PNPLA1
dJ510O8.5,CLPSL2
dJ510O8.6,CLPSL1
dJ510O8.8,LHFPL5
dJ512B11.2,SNRNP48
dJ522B19.2,TXLNB
dJ523E19.1,LRRC1
dJ526I14.2,TTLL12
dJ530I15.2,RIPOR3
dJ530I15.3,RIPOR3
dJ530I15.5,RPL36P2
dJ531H16.2,DYNLT3P1
dJ531H16.4,RPS27AP2
dJ534B8.3,MRPS26
dJ537F10.1,ROR1
dJ537K23.3,UTP14A
dJ539E24.2,PTMAP6
dJ543J19.4,TUBB1
dJ543J19.5,PRELID3B
dJ545K15.2,ARMCX3
dJ545L17.2,RAD21L1
dJ545L17.4,ACTG1P3
dJ548G19.1,ZFP64
dJ54B20.1,SSX6P
dJ54B20.2,ZNF630
dJ54B20.3,SPACA5
dJ54B20.6,ZNF81
dJ54G6.1,ATG3P1
dJ550H1.1,HMGB3P2
dJ551D2.5,FAM217B
dJ553F4.3,ZNF341
dJ553F4.4,CHMP4B
dJ553F4.5,RPL31P2
dJ55C23.6,SLC18B1
dJ568C11.3,ACSS1
dJ568F9.2,DZANK1
dJ570F3.5,RPL12P1
dJ570F3.6,LYPLA2P1
dJ576H24.4,SIRPD
dJ579F20.1,HMGB1P1
dJ579F20.2,CTCFL
dJ579N16.1,PPP6R2
dJ579N16.4,ADM2
dJ581P3.1,SF3A3P1
DJ583P15.1.1,TNFRSF6B
dJ583P15.3,ZGPAT
dJ583P15.4,LIME1
dJ583P15.7,ZBTB46
dJ583P15.8,ZBTB46
dJ585I14.1,GAPDHP2
dJ585I14.2,TASP1
dJ591C20,SAMD10
dJ591C20.1,ABHD16B
dJ591C20.7,SAMD10
dJ595C2.1,RALGPS2
dJ595C2.2,ANGPTL1
dJ599F21.2,RPL13P2
DJ6,DNAJB8
dJ601O1.1,SPINT4
dJ601O1.3,WFDC13
dJ604K5.2,HS2ST1
dJ612B15.2,SH3GLB1
dJ614O4.3,FAM83C-AS1
dJ614O4.6,MT1P3
dJ614O4.7,FAM83C
dJ616B8.3,FAM83D
dJ620E11.1,CHD6
dJ620E11.2,LPIN3
dJ620E11.4,EMILIN3
dJ621N11.3,MROH8
dJ621N11.4,MROH8
dJ622L5.7,TMEM234
dJ62D2.1,SYCP2L
dJ631M13.3,RPS3P1
dJ631M13.5,MACROD2
dJ633O20.1,CTNNBL1
DJ63G5.1,CYTH4
dJ63G5.3,ELFN2
dJ63M2.2,ACTL10
dJ63M2.4,NECAB3
dJ63M2.5,NECAB3
dJ63M2.6,C20orf144
DJ646B12.2,RHOU
dJ647M16.1,ANGPTL7
dJ64K7.1,RPS2P1
dJ657E11.4,MRTO4
dJ661I20.1,RPL12P11
DJ667H12.2,SERTAD4
dJ671D7.1,SDE2
dJ676J13.1,CYB5R4
dJ677H15.1,LRRC40
dJ677H15.2,SRSF11
dJ677H15.3,ANKRD13C
dJ680N4.3,PROKR2
dJ681N20.2,FTLP3
dJ686C3.3,TMC2
dJ686N3.1,DDX27
dJ687F11.3,UBE2V1P1
dJ688G8.1,RPS2P7
dJ688G8.2,WFDC9
dJ688G8.3,WFDC10A
dJ68L15.3,MPC1
dJ68P15A.1,ELP4
dJ694B14.1,ZNF337
dJ694B14.3,NANP
dJ697K14.1,SRMS
dJ697K14.9,PPDPF
dJ697P8.1,FAT1P1
dJ69E11.2,RPL34P1
dJ69E11.3,TIPRL
dJ70A9.1,AK9
dJ710H13.1,SNAI1
dJ717M23.1,KAT14
dJ718J7.3,ZBP1
dJ718P11,SPTLC3
dJ718P11.1,SPTLC3
dJ71D21.2,METTL24
dJ71N10.1,AHI1
dJ726C3.1,SUN5
dJ726C3.2,BPIFB2
dJ726C3.4,BPIFB3
dJ726C3.5,BPIFB4
dJ726N1.3,RPL15P1
dJ727I10.1,LINC02871
dJ730K3.2,MAGI3
dJ734G22.1,CASZ1
dJ734G22.2,PEX14
dJ734P14.3,TGM6
dJ734P14.5,ZNF343
dJ737E23.1,CD93
dJ738P15.3,ENTPD6
DJ742C19.2,APOBEC3B
dJ742J24.1,BTBD3
dJ744I24.2,TBC1D22B
dJ746H2.1,MRPS11P1
dJ747H23.2,RWDD2A
dJ747L4.1,TBX19
dJ747L4.C1.2,SFT2D2
dJ753D5.2,RPS17P5
dJ756G23.3,L3MBTL2
dJ756N5.1,MYH7B
dJ756N5.2,TRPC4AP
dJ75H8.2,MORC4
dJ75N13.1,ZNF711
dJ760C5.1,CFTR
dJ760C5.1,CFTRP1
dJ776F14.1,NSFL1C
dJ776F14.2,SIRPB2
dJ776P7.1,GDAP2
dJ777L9.2,RPLP0P1
dJ779E11.1,SMOX
dJ779E11.2,ADRA1D
dJ781B1.1,KCNK15
dJ781B1.3,RIMS4
dJ782G3.1,ILDR2
dJ785G19.1,XPOTP1
dJ794I6.2,SLC4A11
dJ794I6.3,ITPA
dJ795G23.1,TBX22
dJ796I17.1,PNPLA3
dJ798A10.2,CROCCP3
DJ79P11.1,BEX2
dJ800C24.1,RPL12P4
dJ800J21.1,RAE1
dJ800J21.2,RBM38
dJ803K15.1,BANF2
dJ805C22.1,DOK5
dJ80I19.2,OR2J1
dJ80I19.4,OR2J2
dJ80I19.5,OR2J4P
dJ80I19.6,OR2H4P
dJ80N2.1,LY86
dJ820B18.1,NCBP2L
dJ822J19.1,ENSAP1
dJ823G15.1,PPIAP10
dJ823N20.2,RPL7AP14
dJ824A14.1,C20orf181
dJ824F16.3,RSPO4
dJ831C21.1,GGTLC1
dJ831C21.2,GGTLC1
dJ831C21.3,POM121L3P
dJ831D17.1,ZFP64
dJ836E8.1,SRSF10P2
dJ836N17.2,TM9SF4
dJ836N17.3,RSL24D1P6
dJ839B4.6,ANKEF1
dJ83L6.1,ZXDB
dJ842G6.1,NDUFAF5
dJ843L14.2,RPS4XP3
DJ845O24.3,PRAMEF2
dJ84N20.1,RNF217
dJ850E9.2,SRXN1
dJ850N15.1,CSTP1
dJ852M4.2,TBC1D20
dJ854E16.1,DKKL1P1
dJ857M17.1.2,ID1
dJ857M17.2,COX4I2
DJ858B16,PISD
dJ858B16.2,PISD
dJ858M22.1,RPS10P2
dJ85M6.3,TCP11L1
dJ85M6.4,DEPDC7
dJ860F19.2,RPL19P1
dJ860F19.4,C20orf141
dJ862K6.3,EIF4EBP2P1
dJ862P8.3,MAP3K21
dJ86C11.1,H2AC12
dJ86C11.7,VN1R11P
dJ871E2.1,ZNF326
dJ872K7.2,RPL24P2
dJ872K7.6,RPS15AP1
dJ873F21.1,MPPED2
dJ874C20.1,ZKSCAN3
dJ874C20.1.,ZKSCAN3
dJ874C20.4,PGBD1
dJ875H10.1,SAMD5
dJ881L22.1,GDAP1L1
dJ881L22.2,FITM2
dJ881L22.3,R3HDML
dJ885A10.1,CBLN4
DJ885L7.4.1,COL9A3
dJ885L7.5,DPH3P1
dJ885L7.7,ARF4P2
dJ885L7.8,DIDO1
DJ886K2.4,LYPLA2
dJ889N15.1,VSIG1
dJ889N15.2,PSMD10
dJ88J8.3,SAR1AP1
dJ894D12.1,FAM120B
dJ894K16.1,COX6CP2
DJ9,DNAJB11
dJ901O8.2,COX7BP2
dJ908M14.2,CABLES2
dJ908M14.3,RBBP8NL
dJ90A20A.1,DAAM2
DJ90G24.4,SLC5A4
dJ90G24.5,CPSF1P1
dJ90G24.6,C22orf42
dJ90K10.5,PI16
DJ914P14.1,CAPN6
dJ914P20.3,MOCS3
dJ914P20.4,PSMD10P1
dJ919F19.1,PPIL6
dJ927M24.3,RPS3P2
dJ93H18.5,CALHM6
dJ947L8.1,CSMD2
dJ94G16.1,DCBLD1
dJ94G16.2,GOPC
dJ954P9.1,CNBD2
dJ955L16.1,RFX6
dJ95L4.1,AIG1
dJ963K23.1,KRT18P4
DJ964F7.1,ADAM33
dJ965G21.2,ABHD12
dJ967N21.5,MCM8
dJ967N21.6,CRLS1
dJ971B4.1,KIF16B
DJ971N18.2,TMX4
dJ976O13.2,MTF2
dJ977B1.2,HNRNPA3P2
dJ97D16.2,RSL24D1P1
dJ97D16.3,H4C10P
dJ97D16.4,H2BC13
dJ981L23.2,MKRN7P
dJ981L23.3,ZNF840P
dJ984P4.2,GSTM3P1
dJ994E9.1,RPS17P1
dJ994E9.2,MAS1L
dJ994E9.3,UBDP1
dJ994E9.4,OR2H1
dJ994E9.6,OR11A1
DJ994E9.8,OR12D2
dJ995J12.1.1,GDAP1L1
dJ998H6.1,CDH22
dJ999L4.1,RPL12P12
DjA1,DNAJA1
DJA2,DNAJA2
DjB4,DNAJB4
DJBP,EFCAB6
DJC6,DNAJC6
DJC7,DNAJC7
DJL,SAMD13
DJS,ABCC2
DK,DOLK
DK1,DOLK
DK1,IGHD5-12
DK4,IGHD5-5
DKC,DKC1
DKCA1,TERC
DKCA2,TERT
DKCA3,TINF2
DKCA4,RTEL1
DKCA5,TINF2
DKCA6,ACD
DKCB1,NOP10
DKCB2,NHP2
DKCB3,WRAP53
DKCB4,TERT
DKCB5,RTEL1
DKCB6,PARN
DKCB7,ACD
DKCB8,DCLRE1B
DKCD,TYMS
DKCX,DKC1
DKELCHL,KLHL4
DKFZp313A0139,MICU3
DKFZp313A2432,SVIP
DKFZp313B0440,SMCO1
DKFZp313B211,RAP2C
DKFZp313B2333,TECRL
DKFZp313D0829,TECRL
DKFZp313G1735,ARSK
DKFZp313H0531,SLC10A7
DKFZp313H0817,MRPS25
DKFZp313I2429,VPS50
DKFZp313J1114,SEPTIN7P2
DKFZp313K1940,TCEAL9
DKFZp313L0121,ASB14
DKFZp313L0718,GSN
DKFZp313M0720,ANO6
DKFZp313N0621,TCAIM
DKFZp313O1132,THAP5
DKFZP434A0131,STAG3L1
DKFZP434A0225,ANKIB1
DKFZP434A043,ARMC8
DKFZp434A1022,CATSPERG
DKFZP434A1114,FAM210B
DKFZp434A128,CCDC39
DKFZP434A1315,HORMAD1
DKFZP434A1319,ENKD1
DKFZP434A139,RAI1
DKFZp434A1520,UBE3D
DKFZp434A171,ANKRD20A1
DKFZp434A1721,CFAP46
DKFZp434A2417,ACBD5
DKFZP434B0335,TECPR1
DKFZp434B0417,PDZRN4
DKFZP434B044,CRISPLD2
DKFZP434B061,FAM230C
DKFZp434B0717,MOV10L1
DKFZP434B103,TTLL3
DKFZp434B1231,IGFN1
DKFZp434B1272,ADGRD1
DKFZP434B131,GEMIN4
DKFZp434B1517,MICAL1
DKFZP434B168,INTS7
DKFZP434B172,GASK1A
DKFZP434B1727,ZRANB3
DKFZP434B187,PGM3
DKFZP434B194,TFIP11
DKFZp434B195,ADPGK
DKFZP434B204,SPATA31A1
DKFZp434B204,SPATA31A3
DKFZP434B205,FBXW5
DKFZp434B217,PCSK4
DKFZp434B227,DRC9
DKFZp434B2411,TP53INP2
DKFZP434C013,RTEL1
DKFZp434C0328,GRAMD1C
DKFZp434C0631,OVOS2P
DKFZp434C1013,CSTF2T
DKFZP434C128,LRRC3
DKFZP434C131,ULK3
DKFZp434C1372,PLCH1
DKFZP434C171,CCDC69
DKFZp434C1714,TMEM18
DKFZP434C1715,FBXL17
DKFZp434C1826,SEL1L2
DKFZp434C211,ADGRA2
DKFZP434C212,GAPVD1
DKFZp434C2322,ADAMTS13
DKFZP434C245,POC1A
DKFZp434D0215,SH3D19
DKFZP434D0412,PPP1R12C
DKFZp434D0513,HYDIN
DKFZp434D0917,KIF27
DKFZp434D0935,NEK9
DKFZp434D1319,RBM33
DKFZP434D1335,LSM14A
DKFZP434D146,ARHGEF26
DKFZp434D166,PHTF2
DKFZP434D174,GEMIN4
DKFZp434D177-like,NBPF5P
DKFZp434D1812,ZC3H13
DKFZP434D2111,WWP1
DKFZP434D222,UPF2
DKFZp434D229,PIDD1
DKFZP434D245,RAB3GAP2
DKFZp434E0211,CERK
DKFZP434E0321,STAB2
DKFZp434E0519,TAMM41
DKFZp434E092,DPY19L2P2
DKFZp434E098,SCAF4
DKFZp434E1410,C1orf167
DKFZp434E202,LAMC3
DKFZP434E2135,FZD5
DKFZp434E2216,SUGP1
DKFZp434E2220,ZCCHC8
DKFZp434E229,ZNRF1
DKFZP434E2318,KBTBD7
DKFZp434E2321,CCDC74B
DKFZP434F0318,APOLD1
DKFZp434F054,WDR24
DKFZP434F076,SLC12A7
DKFZP434F091,THUMPD3
DKFZP434F1017,FSCB
DKFZP434F122,LINC00588
DKFZP434F124,TRAF3IP1
DKFZP434F162,HINFP
DKFZp434F1719,CYP4F30P
DKFZp434F1728,CFAP97
DKFZP434F1735,GPATCH4
DKFZp434F195,CAMSAP1
DKFZP434F2021,RMP64
DKFZp434F2322,FAM20A
DKFZP434F2429,ARHGEF3
DKFZp434G015,C20orf204
DKFZP434G032,KRT23
DKFZp434G0420,NARF
DKFZp434G0522,KLHDC4
DKFZp434G0625PRO34003,PLXNA4
DKFZP434G072,C4orf17
DKFZP434G099,RAB33B
DKFZp434G118,SPATA31H1
DKFZP434G1411,HMGCLL1
DKFZP434G1415,PUS7L
DKFZP434G145,RTTN
DKFZP434G156,CCDC136
DKFZp434G1729,GARIN5B
DKFZP434G2226,KIF18A
DKFZP434G232,ABCA12
DKFZp434g247,HBS1L
DKFZP434H0115,ODAD4
DKFZP434H0350,SAMD4A
DKFZp434H055,ZNF543
